Store Number,Country,Ownership Type,Latitude,Longitude,Street Address,City,State/Province,Timezone,Year
34638-85784,HK,Licensed,22.3407,114.20169,"Level 2, Plaza Hollywood, Diamond Hill,",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
32141-267986,HK,Licensed,22.341694,114.194208,"Shop No. G3B, Ground Floor, Wong Tai Sin",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
15035-155445,HK,Licensed,22.33352,114.19678,"Shop No. G01, Ground Floor, Mikiki 638",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
49646-268445,HK,Licensed,22.331223,114.188143,九龍九龍城廣場 地下低層LG10舖,Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
31944-224544,HK,Licensed,22.323871,114.203796,"Shop 48, G/F,HK Int'l Trade & Exhibit",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
21805-215565,HK,Licensed,22.3366,114.182904,"1/F, JCACC, Baptist University Road",Kowloon Tong,91,GMT+08:00 Asia/Hong_Kong,2021
34610-28207,HK,Licensed,22.32287,114.21344,"Shop Unit G1A, Atrium A, Telford Plaza I",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
32240-132324,HK,Licensed,22.32068,114.21015,"Lobby, Ground Floor, One Kowloon, 1 Wang",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
31735-116128,HK,Licensed,22.31982,114.20857,"Unit 4 on Level 6 of MegaBox, Enterprise",Kowloon Bay,91,GMT+08:00 Asia/Hong_Kong,2021
31601-277585,HK,Licensed,22.328222,114.181048,"G/F, No. 366 Prince Edward Road",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
27789-248689,HK,Licensed,22.335369,114.176125,"1F, InnoCentre, 72 Tat",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
31295-106071,HK,Licensed,22.33735,114.17411,"Unit 20A on Level UG/F, Festival Walk",Kowloon Tong,91,GMT+08:00 Asia/Hong_Kong,2021
28087-249911,HK,Licensed,22.315936,114.214427,"Unit W2, G/F, One Bay East West Tower",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
57658-291775,HK,Licensed,22.315382,114.21705,"Shop G01, G/F, Mapletree Bay Point",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
28938-251933,HK,Licensed,22.323102,114.172155,"Shop 247, 2, Moko 193 Prince Edward Rd W",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
31484-108178,HK,Licensed,22.31385,114.2216,"Shop 3A&3B, G/F, Tower 1, 388 Kwun Tong",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
24822-239032,HK,Licensed,22.309342,114.191437,"Shop No.UG39, UG/F, The Laguna Mall No.8",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
15929-163266,HK,Licensed,22.31853,114.17469,"1/F, One Victory,1-3 Victory Avenue",Mong Kok,91,GMT+08:00 Asia/Hong_Kong,2021
16739-175266,HK,Licensed,22.31955,114.17157,"1/F & 2/F, Wai Kee House",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
15498-162224,HK,Licensed,22.32257,114.16904,"Kiosk A & B, 2/F, Pioneer Centre",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
57118-291147,HK,Licensed,22.310027,114.220882,"Shop 7, G/F, Two Harbour Square",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
34651-97510,HK,Licensed,22.31255,114.22524,"Shop No. 15, Level 2, APM, Millennium Ci",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
23427-230344,HK,Licensed,22.318242,114.169937,"Shop 10-16, 1/F, Bank Centre Mall",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
28086-249917,HK,Licensed,22.310818,114.226208,"Shop 7, G/F, E Plaza, 7 Shing Yip",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
34650-96576,HK,Licensed,22.31813,114.16866,"Shop No. 2, Level 4A, Langham Place",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
47110-256908,HK,Licensed,22.315398,114.17103,"Shop B01, Basement, Gala Place, 56",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
32539-136288,HK,Licensed,22.30386,114.18883,"Shop No.5, G/F, Site 4, Whampoa Garden,",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
